Version 004
Name	Provider	FE-Type	LNB	Frequency	H/V	Symbolrate	Inversion	BW(T,C)	Type	Scrambled	TS ID	Net ID	o.Net ID	Service ID	PCR-PID	PMT-PID	Video-PID	Audio-PID	AC3-PID	Teletext-PID	MHEG-5	Subtitle-PID	Key	StreamInfo	StreamInfoAC3
SÜDWEST RP	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28231	3101	3100	3101	3102	0	3104	0	0	000104316E470C1D0000	3102,German		
NDR FS SH	ARD	2	DVB-C	426012	2	6900000	0	2	1	0	1073	65535	1	28227	2401	2700	2401	2402	0	2404	0	0	000104316E4309610000	2402,German		
Bulgaria Radio	BNR	2	DVB-C	466012	2	6900000	0	2	2	0	9100	65535	318	8828	8191	4614	0	4615	0	0	0	0	013E238C227C1FFF0000	4615,		
Detski Mir	DigiKabel RUS	2	DVB-C	121012	2	6900000	0	2	1	1	10005	65535	61441	53503	931	258	931	932	0	0	0	0	F0012715D0FF03A30000	932,Russian		
DISNEY CHANNEL	PREMIERE	2	DVB-C	354012	2	6900000	0	2	1	1	17	65535	133	34	2559	98	2559	2560	0	0	0	0	00850011002209FF0000	2560,German\2560,German		
PREMIERE 4	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	9	767	102	767	768	0	0	0	0	00850002000902FF0000	768,German		
PREMIERE 3	PREMIERE	2	DVB-C	370012	2	6900000	0	2	1	1	2	65535	133	43	2303	109	2303	2304	0	0	0	0	00850002002B08FF0000	2304,German		
DEUTSCHE HITS	PREMIERE	2	DVB-C	370012	2	6900000	0	2	2	1	2	65535	133	151	800	113	0	800	0	0	0	0	00850002009703200000	800,German		
PREMIERE DIREKT	PREMIERE	2	DVB-C	378012	2	6900000	0	2	1	0	4	65535	133	18	2815	103	2815	2816	2819	0	0	0	0085000400120AFF0000	2816,German\2817,German\2816,German\2817,German	2819,\2819,	
Österreich 1	ZDFvision	2	DVB-C	394012	2	6900000	0	2	2	0	1079	65535	1	28017	169	1004	0	169	0	0	0	0	000104376D7100A90000	169,German		
